Order_Id,Customer_Id,Customer_Name,Product_Id,Product_Category,Product_Name,Payment_Type,Quantity_ordered,Price,Date_and_Time_When_Order_Was_Placed,Customer_Country,Customer_City,Site_From_Where_Order_Was_Placed,Payment_Transaction_Confirmation_Id,Payment_Success_or_Failure,Payment_Failure_Reason
c177005d-c23b-4bec-b479-d40fa30cc3b9,99c27dd1-00df-447e-8e61-f8ead9929600,Katie Moyer,529c838f-a239-418c-b7dc-cdcbe45a913f,Sports,Cricket Bat,Card,1,601.47,2021-05-30 10:07:33,Canada,Toronto,Walmart,32a0557b-8cb8-4a8c-a447-61cabe90cf2b,N,Insufficient funds
fef23754-8227-4a02-b825-45313d2611a8,31a5522d-8bcc-4413-a974-27b1507a2cd2,Mandy George,9a6b9569-1e32-4b75-a7e9-0124a2776ba4,Clothing,T-Shirts,Internet Banking,3,989.9,2022-08-16 18:54:08,Germany,Cologne,eBay,4f63f3c6-c901-410b-9eb5-84114fbc537a,Y,Payment Successful
2a280952-b781-4bfe-8520-9c38b8ba502a,dbd612a3-6e77-47ea-8843-41c48d8ff3f2,Christy Gill,37529f35-128b-4d1e-84f3-e8a1906018c5,Electronics,Chargers,Wallet,3,987.54,2022-01-23 00:13:40,India,Bangalore,Walmart,1d9edbc4-eeac-4910-a4b2-eb2d4665c3ee,Y,Payment Successful
c066ab53-9faa-4fce-b3a0-91e576c2cc61,8ab1b4f4-cb81-4933-85d6-27ec340ebe6c,Benjamin Mcdaniel,46a18165-6372-4cdc-9c87-cf4c9a486921,Sports,Football,UPI,4,251.1,2024-03-14 01:32:56,Germany,Munich,Amazon,f58aa996-a806-43e7-8405-12ebc421c359,N,Payment gateway error
03ff21b9-ba72-44a4-a9ec-657660a0d4c6,0f346234-173e-48fd-a61e-6b9d5cd07be6,Joseph Young,adf4b786-f2ee-4f3a-bb44-b1a6a7fc5720,Books,Non-Fiction,Card,4,225.19,2024-04-07 19:17:46,India,Kolkata,eBay,a501e8c3-7fa7-47bf-aac6-f5f355d0378c,N,Card expired
e4763f89-8169-4977-b05f-fb51309eefde,3f64c62f-9420-4d68-81ab-b27c6ab9cf17,Jacob George,c0b573ac-abd7-40df-ad81-180c98cf31a9,Electronics,Chargers,Wallet,3,619.81,2023-06-28 14:08:17,Germany,Hamburg,Flipkart,8a5fb17c-927c-4c32-b712-543e2b9a526a,N,Card expired
1794c05e-2b3f-48c2-93df-32e0939b9d29,c18c5e9b-1074-4e46-8757-cdc064fb7414,Timothy Jackson,67898a43-4134-489d-8890-88521269cf1b,Electronics,Laptops,Internet Banking,4,306.71,2021-11-05 03:55:10,Germany,Munich,eBay,63316215-aa69-438f-b0fa-7e29da6b7490,Y,Payment Successful
7c09d484-f5d7-42b0-b2d9-ddaf06c22069,54bd3637-cc01-4250-851b-630677541898,James Richardson,af874352-37e6-4a16-80e8-426bb3183451,Home & Kitchen,Toothpaste,Wallet,1,276.64,2024-03-13 07:58:43,Canada,Toronto,Shopify,17d3134a-41d2-4c67-a061-983ec965d355,N,Insufficient funds
980859fd-ffa7-4ec7-ae0a-2ced09022ed7,9283d1a6-bc4c-4e3d-b44b-20337ddccfee,Sean Hunt,359a7300-56ed-405b-ae59-ac712ea95b28,Electronics,Headphones,Wallet,1,867.73,2022-03-10 18:10:51,India,Mumbai,eBay,99c144e4-a688-43ef-8e8c-1721e4a71d36,Y,Payment Successful
267e8843-ed11-4fe5-84f4-bbe784a29106,d89477ac-9279-4d4a-97bf-654535f31010,Chad Bell,8df6c467-b183-46e1-9dff-0e8d3495a5bb,Electronics,Smartphones,Internet Banking,1,707.33,2023-01-17 07:52:21,UK,Manchester,Walmart,11d6efcc-c39d-414f-a3df-671b58bb5e0a,Y,Payment Successful
10bc448a-0570-4207-bfb8-9ad289232875,4f50155d-597d-4764-9dc9-99f247147ad8,Craig Jackson,a81ba82e-8a00-4daa-b65e-a35a200021a2,Electronics,Headphones,Wallet,3,834.07,2020-09-01 12:58:25,Germany,Frankfurt,Amazon,e10d2012-1c78-4b7b-a3ee-f9314bf723ad,N,Payment gateway error
eca442fa-88d6-4840-9b05-052deb6b7aa4,0e0fd486-f0b7-4ec8-9e70-273ed6371c66,Jason Harrell,b58a6268-4dac-408b-b9c2-fdb19b248e74,Electronics,Laptops,Card,1,455.49,2023-02-09 13:35:23,India,Chennai,Flipkart,3a8af75d-1e4f-4d0d-91f4-52b566912f9e,N,Card expired
2ce224fd-dd7a-49f2-bfb0-f5bb6c3c6666,43996a75-e623-4d38-bd68-4ecb481d8959,Michael King,6c00303f-3359-413a-8f18-653b307f1d10,Sports,Basketball,UPI,4,377.26,2023-04-28 07:18:34,Germany,Hamburg,Walmart,c0f5700a-73aa-4e05-9369-cf348ff61c7b,Y,Payment Successful
174d27f3-2208-4c0d-af95-620665b22436,ccba102d-c5c5-449e-8873-b3117b2dd664,Derek Abbott,d70de912-2ef7-4b0e-beb2-bd6caabb884b,Electronics,Batteries,Wallet,2,692.06,2023-10-04 04:19:16,India,Bangalore,Shopify,d8423851-a5fe-4f73-99bd-0ad0e0965da4,Y,Payment Successful
04df6528-4911-4702-b624-ea3d5cad5193,2f6d009f-3102-4aa8-b614-5db6894fe77d,Chris Wright,af53a3c2-4b27-4fea-b533-fdf8feeb53db,Sports,Gym Gloves,Card,4,211.13,2024-08-24 07:37:09,UK,Leeds,Shopify,4abf2a28-2e1b-4cf2-b072-2efc7319182f,N,Insufficient funds
88a38687-42ef-411b-baf6-5837fc78e9c8,3dcbac62-a028-4d35-8685-84b37c67d18b,Jeffery Brown,154c0d1e-27e1-4a54-a4ad-c86c1da04a39,Home & Kitchen,Soap,Internet Banking,5,131.29,2021-11-20 14:09:08,Canada,Montreal,Amazon,86b13035-843a-4fbe-ba40-75c5d283dda9,N,Payment gateway error
26c3d0cb-f90b-4170-98c6-5337bb236fab,8145fb6b-30af-47ed-b81f-6b034926f61b,Ryan Smith,b25b13ab-d6a0-49db-9042-9857c4b48a68,Books,Fiction,Internet Banking,5,682.93,2022-12-13 13:40:53,Germany,Munich,eBay,53ae54d8-521c-4ce9-b258-9e20adc05c74,Y,Payment Successful
b032d066-0bf4-4565-94de-377175e79335,48182379-c9fc-4022-b552-023ce6caa12b,Tracy Rodriguez,812b9f4d-5284-4814-bdf4-f30589ab8629,Books,Non-Fiction,Wallet,1,456.04,2024-04-23 16:35:25,India,Chennai,Shopify,bb799dd1-f881-4312-8ec9-838b8ca364e4,Y,Payment Successful
